county,area,name,uri,park_department
San Mateo County,southbayhikes,Sneath Lane Trail,southbayhikes/sweeney.html,Golden Gate National Recreation Area
Marin County,northbayhikes,Sorich Fire Road,northbayhikes/tlsh.html,Marin County Open Space District
Marin County,northbayhikes,Sorich Park Trail,northbayhikes/tlsh.html,Marin County Open Space District
Alameda County,eastbayhikes,Soaproot Trail,eastbayhikes/coyotehills.html,East Bay Regional Park District
Contra Costa County,eastbayhikes,Sobrante Ridge Trail,eastbayhikes/sobrante.html,
Sonoma County,northbayhikes,Sonoma Ridge Loop Trail,northbayhikes/jacklondon.html,California State Parks
Sonoma County,northbayhikes,Sonoma Ridge Trail,northbayhikes/jacklondon.html,California State Parks
Sonoma County Parks,northbayhikes,South Loop Trail,northbayhikes/hputnam.html,
Villa Montalvo County Park,southbayhikes,South Orchard Trail,southbayhikes/montalvo.html,Santa Clara County Parks
Solano County,eastbayhikes,South Pasture Trail,eastbayhikes/rushranch.html,
San Francisco County,sfhikes,South Ridge Trail,sfhikes/sutro.html,
San Mateo County,southbayhikes,Spring RidgeHamms Gulch Loop,southbayhikes/whsrhg.html,Midpeninsula Regional Open Space District
San Mateo County,southbayhikes,A loop around Sausal Pond,southbayhikes/windysausal.html,Midpeninsula Regional Open Space District
Stafford Lake County Park,northbayhikes,Stafford Lake Trail,northbayhikes/little.html,
Marin County,northbayhikes,Steep Ravine Trail,northbayhikes/stinson.html,California State Parks
Sonoma County,northbayhikes,Steves S Trail,northbayhikes/annadel/annadel.html,California State Parks
Santa Clara County,southbayhikes,Stevens Creek Nature Trail,southbayhikes/monte.html,Midpeninsula Regional Open Space District
Stevens Creek County Park,southbayhikes,Stevens Creek Tony Look Trail,southbayhikes/stevenscreek.html,Santa Clara County Parks
Napa County,northbayhikes,Stevenson Memorial Trail,northbayhikes/rlssp.html,California State Parks
Marin County,northbayhikes,Stewart Trail,northbayhikes/fivebrooks.html,National Park Service
Contra Costa County,eastbayhikes,Stewartsville Trail,eastbayhikes/bdm.html,East Bay Regional Park District
,southbayhikes,Stile Ranch Trail,southbayhikes/stileranch.html,
Marin County,northbayhikes,Stocking Trail,northbayhikes/bontempe.html,
Contra Costa County,eastbayhikes,Stone Corral Trail,eastbayhikes/morgan.html,East Bay Regional Park District
Contra Costa County,eastbayhikes,Stonegate Trail,eastbayhikes/diablofoothills.html,East Bay Regional Park District
,eastbayhikes,Stream Trail,eastbayhikes/redwood.html,East Bay Regional Park District
Contra Costa County,eastbayhikes,Stream View Trail,eastbayhikes/bishop.html,East Bay Regional Park District
San Bruno Mountain County and State Park,southbayhikes,Summit Loop Trail,southbayhikes/sanbrunosummit.html,County of San Mateo Parks Department
San Mateo County,southbayhikes,Sunny Jim  Trail,southbayhikes/skyline1.html,Midpeninsula Regional Open Space District
Marin County,northbayhikes,Sunset Beach Trail,northbayhikes/estero.html,National Park Service
Marin County,northbayhikes,Angel Island State Park,northbayhikes/angelisland.html,California State Parks
Santa Cruz County,southbayhikes,Big Basin Redwoods State Park,southbayhikes/bigbasin/waterfallloop.html,California State Parks
Alameda County,eastbayhikes,Joaquin Miller Park,eastbayhikes/joaquinmiller.html,
San Mateo County,southbayhikes,Sweeney Ridge Trail,southbayhikes/sweeney.html,Golden Gate National Recreation Area
San Mateo County,southbayhikes,Sylvan Trail,southbayhikes/edgewood.html,County of San Mateo Parks Department
Upper Stevens Creek County Park,southbayhikes,Table Mountain Trail,southbayhikes/usccp.html,Santa Clara County Parks
San Mateo County,southbayhikes,Resolution Loop,southbayhikes/ecdmsp.html,Midpeninsula Regional Open Space District
San Mateo County,southbayhikes,Tafoni Loop,southbayhikes/elcortemadera.html,Midpeninsula Regional Open Space District
Marin County,northbayhikes,Terra Linda Ridge Fire Road,northbayhikes/tlshdnorth.html,
Stafford Lake County Park,northbayhikes,Terwilliger Nature Trail,northbayhikes/staffordlk.html,
Alameda County,eastbayhikes,Thermalito Trail,eastbayhikes/pleasanton.html,East Bay Regional Park District
Marin County,northbayhikes,Thorner Ridge Trail,northbayhikes/thorner.html,Marin County Open Space District
Sonoma County Parks,northbayhikes,Three Lakes Trail,northbayhikes/foothill.html,
Sonoma County Parks,northbayhikes,Three Meadows Trail,northbayhikes/maxwell.html,
Alameda County,eastbayhikes,Tidelands Trail,eastbayhikes/dewf.html,
Marin County,northbayhikes,Tomahawk Fire Road,northbayhikes/tlsh.html,Marin County Open Space District
Marin County,northbayhikes,Tomales Point Trail,northbayhikes/tomalespt.html,National Park Service
Sam McDonald County Park,southbayhikes,Towne Trail,southbayhikes/smcp.html,County of San Mateo Parks Department
San Mateo County,southbayhikes,Toyon Trail,southbayhikes/cmr.html,
Sonoma County,northbayhikes,Treadmill Trail,northbayhikes/jacklondon.html,California State Parks
Contra Costa County,eastbayhikes,Tres Sendas Trail,eastbayhikes/redwood.html,East Bay Regional Park District
Marin County,northbayhikes,Trestle Trail,northbayhikes/mountainhome.html,California State Parks
Marin County,northbayhikes,Troop  Trail,northbayhikes/mountainhome.html,California State Parks
Santa Cruz County,southbayhikes,Truck Trail,southbayhikes/fallcreek.html,California State Parks
Santa Cruz County,southbayhikes,Twin Oaks Trail,southbayhikes/wilder.html,California State Parks
Marin County,northbayhikes,Upper Meadow Trail,northbayhikes/indiantree.html,Marin County Open Space District
Contra Costa County,eastbayhikes,Upper Sea Foam Trail,eastbayhikes/kengrove.html,East Bay Regional Park District
Marin County,northbayhikes,Upper Summit Fire Road,northbayhikes/caminoalto.html,Marin County Open Space District
Contra Costa County,eastbayhikes,Upper Trail,eastbayhikes/lastrampas.html,East Bay Regional Park District
Santa Clara County,southbayhikes,Upper Wildcat Canyon Trail,southbayhikes/rancho.html,Midpeninsula Regional Open Space District
Calero County Park,southbayhikes,Vallecito Trail,southbayhikes/calero.html,Santa Clara County Parks
Napa County,northbayhikes,Alston Park,northbayhikes/alstonpark.html,
Contra Costa County,eastbayhikes,Los Vaqueros Watershed,eastbayhikes/losvaqueros.html,Contra Costa Water District
San Mateo County,southbayhikes,San Pedro Valley Park,southbayhikes/sanpedrovvl.html,County of San Mateo Parks Department
Napa County,northbayhikes,Westwood Hills Park,northbayhikes/westwoodhills.html,
Sonoma County Parks,northbayhikes,Verano Trail,northbayhikes/maxwell.html,
Marin County,northbayhikes,Verissimo Hills Trail,northbayhikes/little.html,Marin County Open Space District
Marin County,northbayhikes,Verna Dunshee Trail,northbayhikes/eastpeak.html,California State Parks
Santa Clara County,southbayhikes,Vista Loop Trail,southbayhikes/stevenscreek.html,Midpeninsula Regional Open Space District
Contra Costa County,eastbayhikes,Volcanic Trail,eastbayhikes/sibley.html,East Bay Regional Park District
Contra Costa County,eastbayhikes,Volvon Trail,eastbayhikes/morgan.html,East Bay Regional Park District
Sonoma County,northbayhikes,W Richardson Trail,northbayhikes/annadel/annadel.html,California State Parks
Uvas Canyon County Park,southbayhikes,Waterfall Loop Fire Road,southbayhikes/uvas.html,Santa Clara County Parks
San Mateo County,southbayhikes,Hazelnut Trail Loop,southbayhikes/sanpedrohazel.html,County of San Mateo Parks Department
San Mateo County,southbayhikes,Valley View Loop,southbayhikes/sanpedrovvl.html,County of San Mateo Parks Department
Contra Costa County,eastbayhikes,West Ridge Trail,eastbayhikes/millerknox.html,East Bay Regional Park District
Alameda County,eastbayhikes,Western Pacific Trail,eastbayhikes/quarrylakes.html,East Bay Regional Park District
Sonoma County Parks,northbayhikes,Westside Trail,northbayhikes/foothill.html,
Marin County,northbayhikes,White Hill Fire Road,northbayhikes/white.html,Marin County Open Space District
Santa Clara County,southbayhikes,White Oak Trail,southbayhikes/monte.html,Midpeninsula Regional Open Space District
,southbayhikes,Whitehouse Ridge Trail,southbayhikes/anonuevo.html,California State Parks
San Mateo County,southbayhikes,Wilburs Watch,southbayhikes/wilburswatch.html,
Santa Clara County,southbayhikes,Wildcat Canyon Trail,southbayhikes/rancho.html,Midpeninsula Regional Open Space District
Contra Costa County,eastbayhikes,Wildcat Creek Trail,eastbayhikes/wildcatcanyon.html,East Bay Regional Park District
Contra Costa County,eastbayhikes,Wildcat Peak Trail,eastbayhikes/tilden.html,East Bay Regional Park District
Marin County,northbayhikes,Wildcat Trail,northbayhikes/invalley.html,Marin County Open Space District
Santa Cruz County,southbayhikes,Wilder Ridge Loop Trail,southbayhikes/wilder.html,California State Parks
Sonoma County,northbayhikes,Wingspan Way,northbayhikes/tubbs.html,
Marin County,northbayhikes,Wolf Ridge Trail,northbayhikes/rodeobeach.html,National Park Service
Alameda County,eastbayhikes,Wood Duck Trail,eastbayhikes/quarrylakes.html,East Bay Regional Park District
Alameda County,eastbayhikes,Woodland Trail,eastbayhikes/pleasanton.html,East Bay Regional Park District
Marin County,northbayhikes,Woodoaks Trail,northbayhikes/sanpedro.html,Marin County Open Space District
Santa Clara County,southbayhikes,Woodrat Trail,southbayhikes/arastradero.html,
Santa Clara County,southbayhikes,Woods Trail,southbayhikes/sierraazul/sierraazul2.html,Midpeninsula Regional Open Space District
Marin County,northbayhikes,Worn Spring Fire Road,northbayhikes/deerpark.html,
Grant County Park,southbayhikes,Yerba Buena Trail,southbayhikes/grant.html,Santa Clara County Parks
Marin County,northbayhikes,Phoenix Lake Trailhead,northbayhikes/phoenixlake.html,
Marin County,northbayhikes,Deer Park Trailhead,northbayhikes/deerpark.html,
Marin County,northbayhikes,Z Ranch Trail,northbayhikes/prsky.html,National Park Service
Santa Cruz County,southbayhikes,Zane Gray Cutoff,southbayhikes/wilder.html,California State Parks
Santa Clara County,southbayhikes,Zinfandel Trail,southbayhikes/picchetti.html,Midpeninsula Regional Open Space District
